variables,units,values,description
materials.rho_fiber,kg/m**3,[   0. 2600. 2600. 2600.    0.    0.    0.    0.    0.],1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,[1100. 1845. 1845. 1940.  110.  110. 1100. 1150. 8500.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,[0.    1.112 1.112 1.858 0.    0.    0.    0.    0.   ],1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,[0.0005 0.     0.     0.     0.     0.     0.     0.     0.    ],1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,[0.     0.4793 0.4793 0.5448 0.     0.     0.     0.     0.    ],1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,[0.     0.6754 0.6754 0.7302 0.     0.     0.     0.     0.    ],1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,Unavailable,"['paint', 'triax', 'biax', 'ud', 'balsa', 'foam', 'adhesive', 'resin', 'steel']",1D array of names of materials.
materials.component_id,Unavailable,[ 0.  2.  3.  4.  1.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
high_level_tower_props.tower_ref_axis_user,m,"[[  0.     0.     0.  ]
 [  0.     0.    10.8 ]
 [  0.     0.    21.61]
 [  0.     0.    32.41]
 [  0.     0.    43.22]
 [  0.     0.    54.02]
 [  0.     0.    64.82]
 [  0.     0.    75.63]
 [  0.     0.    86.43]
 [  0.     0.    97.23]
 [  0.     0.   108.  ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.distance_tt_hub,m,[0.],Vertical distance from tower top to hub center.
high_level_tower_props.hub_height_user,m,[80.],Height of the hub specified by the user.
high_level_tower_props.rotor_diameter,m,[0.],Diameter of the rotor used in WISDEM. It is defined as two times the blade length plus the hub diameter.
tower_grid.ref_axis,m,"[[ 0.          0.          0.        ]
 [ 0.          0.          8.        ]
 [ 0.          0.         16.00740741]
 [ 0.          0.         24.00740741]
 [ 0.          0.         32.01481481]
 [ 0.          0.         40.01481481]
 [ 0.          0.         48.01481481]
 [ 0.          0.         56.02222222]
 [ 0.          0.         64.02222222]
 [ 0.          0.         72.02222222]
 [ 0.          0.         80.        ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
towerse.hub_height,m,[80.],
towerse.tower_height,m,[80.],
towerse.foundation_height,m,[0.],
towerse.tower_s,,"[0.         0.1        0.20009259 0.30009259 0.40018519 0.50018519
 0.60018519 0.70027778 0.80027778 0.90027778 1.        ]",
towerse.member.s_const1,,[0.],
towerse.member.s_const2,,[0.],
towerse.joint1,m,[0. 0. 0.],
towerse.joint2,m,[ 0.  0. 80.],
towerse.tower_layer_thickness,m,"[[0.04008507 0.02492591 0.02070004 0.01835766 0.01405952 0.01306585
  0.01149385 0.0074917  0.00689777 0.004      0.004     ]]",
towerse.tower_outer_diameter_in,m,[4.   4.   4.   4.   4.   4.   4.   4.   4.   3.87 3.87],
towerse.E_mat,Pa,"[[4.560e+06 4.560e+06 4.560e+06]
 [2.179e+10 1.467e+10 1.467e+10]
 [1.392e+10 1.392e+10 1.392e+10]
 [4.200e+10 1.230e+10 1.230e+10]
 [5.000e+07 5.000e+07 5.000e+07]
 [5.000e+07 5.000e+07 5.000e+07]
 [4.560e+06 4.560e+06 4.560e+06]
 [1.000e+06 1.000e+06 1.000e+06]
 [2.100e+11 2.100e+11 2.100e+11]]",
towerse.E_user,Pa,[0.],
towerse.G_mat,Pa,"[[1.52000000e+06 1.52000000e+06 1.52000000e+06]
 [9.41300000e+09 9.41300000e+09 9.41300000e+09]
 [1.15000000e+10 1.15000000e+10 1.15000000e+10]
 [3.47000000e+09 3.47000000e+09 3.47000000e+09]
 [1.66666667e+07 1.66666667e+07 1.66666667e+07]
 [1.66666667e+07 1.66666667e+07 1.66666667e+07]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]
 [3.84615385e+05 3.84615385e+05 3.84615385e+05]
 [8.07692308e+10 8.07692308e+10 8.07692308e+10]]",
towerse.sigma_y_mat,Pa,[0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 4.5e+08],
towerse.sigma_ult_mat,Pa,"[[0.00e+00 0.00e+00 0.00e+00]
 [6.00e+08 6.00e+08 6.00e+08]
 [6.00e+08 6.00e+08 6.00e+08]
 [6.00e+08 6.00e+08 6.00e+08]
 [6.90e+05 6.90e+05 6.90e+05]
 [6.90e+05 6.90e+05 6.90e+05]
 [6.90e+05 6.90e+05 6.90e+05]
 [0.00e+00 0.00e+00 0.00e+00]
 [3.55e+08 3.55e+08 3.55e+08]]",
towerse.wohler_exp_mat,,[1. 1. 1. 1. 1. 1. 1. 1. 1.],
towerse.wohler_A_mat,,"[0.00e+00 6.00e+08 6.00e+08 6.00e+08 6.90e+05 6.90e+05 6.90e+05 0.00e+00
 3.55e+08]",
towerse.rho_mat,kg/m**3,[1100. 1845. 1845. 1940.  110.  110. 1100. 1150. 8500.],
towerse.unit_cost_mat,USD/kg,[ 7.23  2.86  3.    1.87 13.   13.    0.    3.63  0.  ],
towerse.outfitting_factor_in,,[1.07],
towerse.rho_water,kg/m**3,[0.],
towerse.tower_layer_materials,Unavailable,['steel'],
towerse.member.ballast_materials,Unavailable,[],
towerse.material_names,Unavailable,"['paint', 'triax', 'biax', 'ud', 'balsa', 'foam', 'adhesive', 'resin', 'steel']",
towerse.member.gc.d,m,[4.   4.   4.   4.   4.   4.   4.   4.   4.   3.87 3.87],
towerse.member.gc.t,m,"[0.03250549 0.02281298 0.01952885 0.01620859 0.01356268 0.01227985
 0.00949277 0.00719473 0.00544888 0.004     ]",
towerse.member.s,,"[0.         0.1        0.20009259 0.30009259 0.40018519 0.50018519
 0.60018519 0.70027778 0.80027778 0.90027778 1.        ]",
towerse.member.height,m,[80.],
towerse.tower_outer_diameter,m,[4.   4.   4.   4.   4.   4.   4.   4.   4.   3.87 3.87],
towerse.tower_wall_thickness,m,"[0.03250549 0.02281298 0.01952885 0.01620859 0.01356268 0.01227985
 0.00949277 0.00719473 0.00544888 0.004     ]",
towerse.member.E,Pa,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11]",
towerse.member.G,Pa,"[8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10]",
towerse.member.sigma_y,Pa,"[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08]",
towerse.member.rho,kg/m**3,[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.],
towerse.member.unit_cost,USD/kg,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
towerse.member.outfitting_factor,,[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07],
towerse.nodes_xyz,m,"[[ 0.          0.          0.        ]
 [ 0.          0.          2.66666667]
 [ 0.          0.          5.33333333]
 [ 0.          0.          8.        ]
 [ 0.          0.         10.6691358 ]
 [ 0.          0.         13.3382716 ]
 [ 0.          0.         16.00740741]
 [ 0.          0.         18.67407407]
 [ 0.          0.         21.34074074]
 [ 0.          0.         24.00740741]
 [ 0.          0.         26.67654321]
 [ 0.          0.         29.34567901]
 [ 0.          0.         32.01481481]
 [ 0.          0.         34.68148148]
 [ 0.          0.         37.34814815]
 [ 0.          0.         40.01481481]
 [ 0.          0.         42.68148148]
 [ 0.          0.         45.34814815]
 [ 0.          0.         48.01481481]
 [ 0.          0.         50.68395062]
 [ 0.          0.         53.35308642]
 [ 0.          0.         56.02222222]
 [ 0.          0.         58.68888889]
 [ 0.          0.         61.35555556]
 [ 0.          0.         64.02222222]
 [ 0.          0.         66.68888889]
 [ 0.          0.         69.35555556]
 [ 0.          0.         72.02222222]
 [ 0.          0.         74.68148148]
 [ 0.          0.         77.34074074]
 [ 0.          0.         80.        ]]",
towerse.s_full,m,"[0.         0.03333333 0.06666667 0.1        0.1333642  0.1667284
 0.20009259 0.23342593 0.26675926 0.30009259 0.33345679 0.36682099
 0.40018519 0.43351852 0.46685185 0.50018519 0.53351852 0.56685185
 0.60018519 0.63354938 0.66691358 0.70027778 0.73361111 0.76694444
 0.80027778 0.83361111 0.86694444 0.90027778 0.93351852 0.96675926
 1.        ]",
towerse.z_full,m,"[ 0.          2.66666667  5.33333333  8.         10.6691358  13.3382716
 16.00740741 18.67407407 21.34074074 24.00740741 26.67654321 29.34567901
 32.01481481 34.68148148 37.34814815 40.01481481 42.68148148 45.34814815
 48.01481481 50.68395062 53.35308642 56.02222222 58.68888889 61.35555556
 64.02222222 66.68888889 69.35555556 72.02222222 74.68148148 77.34074074
 80.        ]",
towerse.d_full,m,"[4.         4.         4.         4.         4.         4.
 4.         4.         4.         4.         4.         4.
 4.         4.         4.         4.         4.         4.
 4.         4.         4.         4.         4.         4.
 4.         3.95666667 3.91333333 3.87       3.87       3.87
 3.87      ]",
towerse.member.s_ghost1,,[0.],
towerse.member.s_ghost2,,[1.],
towerse.t_full,m,"[0.03250549 0.03250549 0.03250549 0.02281298 0.02281298 0.02281298
 0.01952885 0.01952885 0.01952885 0.01620859 0.01620859 0.01620859
 0.01356268 0.01356268 0.01356268 0.01227985 0.01227985 0.01227985
 0.00949277 0.00949277 0.00949277 0.00719473 0.00719473 0.00719473
 0.00544888 0.00544888 0.00544888 0.004      0.004      0.004     ]",
towerse.E_full,Pa,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11]",
towerse.G_full,Pa,"[8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10]",
