variables,units,values,description
materials.rho_fiber,kg/m**3,[   0. 2600. 2600. 2600.    0.    0.    0.    0.    0.],1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,[1100. 1845. 1845. 1940.  110.  110. 1100. 1150. 8500.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,[0.    1.112 1.112 1.858 0.    0.    0.    0.    0.   ],1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,[0.0005 0.     0.     0.     0.     0.     0.     0.     0.    ],1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,[0.     0.4793 0.4793 0.5448 0.     0.     0.     0.     0.    ],1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,[0.     0.6754 0.6754 0.7302 0.     0.     0.     0.     0.    ],1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,Unavailable,"['paint', 'triax', 'biax', 'ud', 'balsa', 'foam', 'adhesive', 'resin', 'steel']",1D array of names of materials.
materials.component_id,Unavailable,[ 0.  2.  3.  4.  1.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
hub.diameter,m,[4.],
blade.outer_shape_bem.s_default,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.outer_shape_bem.chord_yaml,m,"[2.6        3.04598336 3.42188023 3.68773587 3.80359558 3.7906782
 3.74111726 3.66595249 3.57469261 3.44110943 3.20599432 2.93338656
 2.69387434 2.53919951 2.42011642 2.31688892 2.21786439 2.10905944
 1.97569145 1.84581901 1.75416832 1.73138542 1.73209344 1.73323702
 1.7342618  1.73192164 1.57564698 1.22516246 0.74507713 0.2       ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,rad,"[ 0.349       0.3359792   0.31802153  0.29619027  0.2715487   0.23943727
  0.19631611  0.15192089  0.11617638  0.09383827  0.07556034  0.0603622
  0.04795151  0.0376913   0.02821485  0.02020868  0.0145902   0.01194352
  0.0101949   0.00886959  0.00803933  0.00775409  0.00767732  0.00763586
  0.00758246  0.00733809 -0.00048456 -0.01785401 -0.04159948 -0.06855015]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.outer_shape_bem.pitch_axis_yaml,,"[0.5        0.47976517 0.4100052  0.35124933 0.31100923 0.28348069
 0.26490284 0.25248209 0.24491891 0.24137578 0.24099978 0.24389394
 0.2495414  0.25793137 0.26800753 0.27868903 0.28894556 0.29818676
 0.30613729 0.3119764  0.3154698  0.3174253  0.31570845 0.30954671
 0.29965581 0.28811169 0.27777122 0.27062792 0.2665261  0.25      ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis_yaml,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  2.17241379e+00]
 [ 0.00000000e+00  0.00000000e+00  4.34482759e+00]
 [-1.93940887e-04  0.00000000e+00  6.51724138e+00]
 [-4.74379310e-03  0.00000000e+00  8.68965517e+00]
 [-1.48310345e-02  0.00000000e+00  1.08620690e+01]
 [-2.80497044e-02  0.00000000e+00  1.30344828e+01]
 [-4.59059113e-02  0.00000000e+00  1.52068966e+01]
 [-6.73467980e-02  0.00000000e+00  1.73793103e+01]
 [-9.33451232e-02  0.00000000e+00  1.95517241e+01]
 [-1.23527488e-01  0.00000000e+00  2.17241379e+01]
 [-1.58543399e-01  0.00000000e+00  2.38965517e+01]
 [-1.99150690e-01  0.00000000e+00  2.60689655e+01]
 [-2.46070148e-01  0.00000000e+00  2.82413793e+01]
 [-2.98472562e-01  0.00000000e+00  3.04137931e+01]
 [-3.58187833e-01  0.00000000e+00  3.25862069e+01]
 [-4.24086995e-01  0.00000000e+00  3.47586207e+01]
 [-4.99321773e-01  0.00000000e+00  3.69310345e+01]
 [-5.81902660e-01  0.00000000e+00  3.91034483e+01]
 [-6.75648966e-01  0.00000000e+00  4.12758621e+01]
 [-7.78562512e-01  0.00000000e+00  4.34482759e+01]
 [-8.94316207e-01  0.00000000e+00  4.56206897e+01]
 [-1.02216493e+00  0.00000000e+00  4.77931034e+01]
 [-1.16611172e+00  0.00000000e+00  4.99655172e+01]
 [-1.32539527e+00  0.00000000e+00  5.21379310e+01]
 [-1.50497089e+00  0.00000000e+00  5.43103448e+01]
 [-1.70707828e+00  0.00000000e+00  5.64827586e+01]
 [-1.93547803e+00  0.00000000e+00  5.86551724e+01]
 [-2.19474517e+00  0.00000000e+00  6.08275862e+01]
 [-2.50000000e+00  0.00000000e+00  6.30000000e+01]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
blade.pa.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
blade.pa.twist_opt,rad,"[ 0.349       0.3359792   0.31802153  0.29619027  0.2715487   0.23943727
  0.19631611  0.15192089  0.11617638  0.09383827  0.07556034  0.0603622
  0.04795151  0.0376913   0.02821485  0.02020868  0.0145902   0.01194352
  0.0101949   0.00886959  0.00803933  0.00775409  0.00767732  0.00763586
  0.00758246  0.00733809 -0.00048456 -0.01785401 -0.04159948 -0.06855015]",1D array of the twist angle being optimized at the n_opt locations.
blade.pa.s_opt_chord,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
blade.pa.chord_opt,m,"[2.6        3.04598336 3.42188023 3.68773587 3.80359558 3.7906782
 3.74111726 3.66595249 3.57469261 3.44110943 3.20599432 2.93338656
 2.69387434 2.53919951 2.42011642 2.31688892 2.21786439 2.10905944
 1.97569145 1.84581901 1.75416832 1.73138542 1.73209344 1.73323702
 1.7342618  1.73192164 1.57564698 1.22516246 0.74507713 0.2       ]",1D array of the chord being optimized at the n_opt locations.
blade.interp_airfoils.af_position,,[0.     0.02   0.1371 0.2118 0.3188 0.5236 0.6781 0.8967 1.    ],1D array of the non dimensional positions of the airfoils af_used defined along blade span.
blade.interp_airfoils.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.interp_airfoils.pitch_axis,,"[0.5        0.47976517 0.4100052  0.35124933 0.31100923 0.28348069
 0.26490284 0.25248209 0.24491891 0.24137578 0.24099978 0.24389394
 0.2495414  0.25793137 0.26800753 0.27868903 0.28894556 0.29818676
 0.30613729 0.3119764  0.3154698  0.3174253  0.31570845 0.30954671
 0.29965581 0.28811169 0.27777122 0.27062792 0.2665261  0.25      ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.interp_airfoils.chord,m,"[2.6        3.04598336 3.42188023 3.68773587 3.80359558 3.7906782
 3.74111726 3.66595249 3.57469261 3.44110943 3.20599432 2.93338656
 2.69387434 2.53919951 2.42011642 2.31688892 2.21786439 2.10905944
 1.97569145 1.84581901 1.75416832 1.73138542 1.73209344 1.73323702
 1.7342618  1.73192164 1.57564698 1.22516246 0.74507713 0.2       ]",1D array of the chord values defined along blade span.
blade.interp_airfoils.ac,,[0.25 0.25 0.25 0.25 0.25 0.25 0.5 ],1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.r_thick,,[0.21 0.25 0.3  0.35 0.4  0.5  1.  ],1D array of the relative thicknesses of each airfoil.
